at_bat,batting_team,batter,pitching_team,pitcher,attempt,rbi,single,double,triple,quadruple,home_run,steal1,steal2,steal3,steal4,steal5,adv1,adv2,adv3,adv4,adv5,zone,strikeout,flyout,tag,peg,fielder,assist,error,error,error,notes
0,8-2022,139,5-2022,136,1,,,,1,,,,,,,,,,,1,1,,,,,,,,,,,
1,8-2022,140,5-2022,136,1,,1,,,,,,,,1,1,,1,1,,,,,,,,,,,,,
2,8-2022,55,5-2022,136,1,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,
3,8-2022,53,5-2022,24,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
4,5-2022,121,8-2022,66,1,,,,1,,,,,,1,,,,,,1,,,,,,,,,,,
5,5-2022,122,8-2022,66,1,,,1,,,,,,1,,,,,,1,1,,,,,,,,,,,
6,5-2022,24,8-2022,55,1,2,,,1,,,,,,1,,,,,,1,,,,,,,,,,,
7,5-2022,125,8-2022,55,1,,1,,,,,,1,1,,,,,,,,,,,,,,,,,,
8,5-2022,126,8-2022,55,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
9,5-2022,130,8-2022,55,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
10,5-2022,136,8-2022,55,1,,,,,,,,,,,,,,,,,,,1,,,66,,,,,
11,8-2022,66,5-2022,24,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
12,8-2022,141,5-2022,24,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
13,5-2022,129,8-2022,107,1,,,1,,,,,,,,1,,,1,1,,,,,,,,,,,,
14,5-2022,127,8-2022,107,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
15,5-2022,131,8-2022,107,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
16,8-2022,142,5-2022,24,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
17,5-2022,121,8-2022,107,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
18,5-2022,122,8-2022,107,,,,,,,,,,,,,,,,,,,,,,1,107,,,,,
19,8-2022,143,5-2022,24,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
20,5-2022,125,8-2022,37,,,,,,,,,,,,,,,,,,,,,1,,55,144,,,,
21,8-2022,106,5-2022,24,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
22,5-2022,136,8-2022,37,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
23,5-2022,126,8-2022,37,1,,,,,,,,,,,,,,,,,,,1,,,144,,,,,
24,8-2022,144,5-2022,24,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
25,8-2022,107,5-2022,24,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
26,8-2022,37,5-2022,24,1,2,,,1,,,,,,,,,,,1,,,,,,,,,,,,
27,8-2022,66,5-2022,24,1,,1,,,,,,,,,,,,,,,,,,1,,122,,,,,
28,5-2022,127,8-2022,37,1,,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,
29,5-2022,24,8-2022,37,1,,,1,,,,,,1,,,,,,1,1,,,,,,,,,,,
30,5-2022,130,8-2022,37,1,2,,1,,,,,,,,,,,,,,,,,,,,,,,,
31,5-2022,131,8-2022,37,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
32,8-2022,142,5-2022,24,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
33,5-2022,121,8-2022,37,1,,1,,,,,,,,,,,,,,,,,,1,,144,37,,,,
34,8-2022,139,5-2022,24,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
35,8-2022,53,5-2022,24,1,,,,,,,,,,,,,,,,,,,1,,,122,,,,,
36,5-2022,125,8-2022,37,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
37,5-2022,126,8-2022,37,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
38,5-2022,127,8-2022,37,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
39,8-2022,141,5-2022,24,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
40,8-2022,144,5-2022,24,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
41,5-2022,136,8-2022,37,1,,,1,,,,,,1,,,,,,1,1,,,,,,,,,,,
42,5-2022,122,8-2022,37,1,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,
43,5-2022,24,8-2022,37,1,1,,1,,,,,,,,,,,,,,,,,,,,,,,,
44,5-2022,130,8-2022,37,1,,,,,,,,,,,,,,,,,,,1,,,143,,,,,
45,8-2022,140,5-2022,24,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
46,8-2022,106,5-2022,24,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
47,5-2022,131,8-2022,37,,,,,,,,1,1,,,1,,,1,1,,,,,,,,,,,,
48,5-2022,122,8-2022,37,,,,,,,,1,,1,1,,,1,,,,,,,1,,55,144,,,,
49,5-2022,136,8-2022,37,1,,1,,,,,,1,,,,,,1,,,,,,,,,,,,,
50,5-2022,130,8-2022,37,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
51,8-2022,143,5-2022,24,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
52,5-2022,24,8-2022,55,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
53,5-2022,131,8-2022,55,1,,,,,,,,,,,,,,,,,,,1,,,144,,,,,
54,8-2022,107,5-2022,24,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
55,5-2022,121,8-2022,55,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
56,8-2022,37,5-2022,24,1,,1,,,,,,,,,,,1,1,1,,,,,,,,,,,,
57,8-2022,55,5-2022,24,1,,1,,,,,,1,,,,,,,,,,,,,,,,,,,
58,8-2022,140,5-2022,24,1,,,,,,,,,,,,,,,,,,,1,,,127,,,,,
59,5-2022,125,8-2022,107,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,
60,5-2022,126,8-2022,107,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
61,5-2022,127,8-2022,37,1,,,,,,,,,,,,,,,,,,,1,,,66,,,,,
62,8-2022,66,5-2022,24,1,,,1,,,,,,,,,,,,,,,,,1,,127,24,,,,
63,5-2022,121,8-2022,144,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
64,8-2022,144,5-2022,24,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,
65,8-2022,139,5-2022,24,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
66,5-2022,125,8-2022,144,1,,,1,,,,,,,,,,,,,,,,,1,,141,142,,,,
67,8-2022,141,5-2022,24,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
68,5-2022,122,8-2022,144,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,
69,5-2022,127,8-2022,144,1,,,,,,,,,,,,,,,,,,,1,,,53,,,,,
70,8-2022,106,5-2022,24,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,
71,8-2022,53,5-2022,24,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,
72,8-2022,37,5-2022,24,1,,,,,,,,,,,,,,,,,,,1,,,121,,,,,
73,5-2022,136,8-2022,144,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,,
74,5-2022,126,8-2022,144,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,
75,5-2022,24,8-2022,144,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,
76,5-2022,130,8-2022,144,1,,,,,,,,,,,,,,,,,,,1,,,139,,,,,
77,8-2022,143,5-2022,24,1,,,,1,,,,,,,,,,,,,,,,,1,136,127,,,,
78,5-2022,131,8-2022,144,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
79,8-2022,107,5-2022,24,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
80,5-2022,121,8-2022,144,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
81,5-2022,122,8-2022,144,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,
82,8-2022,55,5-2022,24,1,,,,,,,,,,,,,,,,,,,1,,,126,,,,,
83,5-2022,125,8-2022,144,1,,1,,,,,,,,1,1,,,,,1,,,,,,,,,,,
84,5-2022,126,8-2022,144,,,,,,,,1,1,1,,,,,,,,,,,,,,,,,,
85,5-2022,24,8-2022,144,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
