ID,FRE,(g),(pa),ab,at,(a1),1s,2s,3s,4s,hr,bi,s1,s2,s3,s4,s5,r,z,k,f,t,p,fo,tg,pg,pi,a,GP,SO,CG,W,L,S,R,O,Z,K,(PA),AB,AT,OS,1S,2S,3S,4S,HR
301,Mark Angeles,1,3,3,3,,,2,,,,,,,1,,,1,1,,,,,,,,,,1,,,,,,3,3,2,,8,8,7,6,3,1,1,,
303,Donnie Ross,1,2,2,2,,1,,,,,,,1,,,,1,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,
304,Jake Ross,1,3,3,3,,,1,1,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,
305,Jimmy Sanborn,1,3,3,3,,,1,,,,3,,,,,,,2,,,,,,,,,,1,,,,,,,1,1,,4,4,3,3,2,,,,
306,Mitch Tigchelarr,1,2,2,1,,1,,,,,,1,1,,,,,,,,,,,1,,,,1,,,,1,,8,4,3,,14,14,12,11,5,2,2,,
307,Aiden Toncheff,1,3,3,3,,2,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,
308,Royce Vilarmea,1,3,3,2,,1,,1,,,,1,2,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Brad Visacki,1,4,4,4,,2,1,,,,1,,1,,,,,1,,,,,,,,,1,1,,,,,,2,2,1,,7,7,6,5,3,1,,,
310,Ajith Weerasinghe,1,2,2,1,,1,,,,,,1,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
311,Eshan Weerasinghe,1,3,3,2,1,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,